memorialis_naam,naam,QID,Facebook_ID,social media followers,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar,911    1,naam alternatief,681   ,902   ,903   ,viaf id,Column 1,035   ,035    1,670   ,375   ,900   ,901   ,920   ,046   ,905   ,COR   ,911   ,912   ,910   ,85642 ,906   ,5001  ,904   ,000   ,678   ,8564  ,1101  ,5102  ,4101  ,908   ,599   ,856   ,998   ,4102  
"Stevens, Chris",Chris Stevens,,,,,,,,1965,,faculteit Bio-Ingenieurswetenschappen$$gBW$$s20,"Stevens, Christian",$$aChemie,,,46158031,000005200 ,$$a(viaf)46158031,$$a,$$aEerste vermelding Studiegids 2001-02,$$aman,,,$$apersoon,$$f19650627$$gunknown$$s2001$$tunknown,,"$$aStevens, Christian$$0ZZZ",$$afaculteit Bio-Ingenieurswetenschappen$$gBW$$s2009$$tunknown$$ihoogleraar$$0mem10:000006188,$$avakgroep Duurzame Organische Chemie en Technologie$$gBW11$$s2016$$tunknown$$ivoorzitter$$0mem10:000006203,$$avakgroep Duurzame Organische Chemie en Technologie$$gBW11$$0mem10:000006203,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/200/000005200-01.jpg,,,,,,,,,,,,,,
"Stevens, Marc",Marc Stevens,,,,,,,,1946,,Universiteit Gent$$s2008$$iemeritus,,$$aToegepaste Biologische Wetenschappen,,,,000005201 ,$$a(biblio)801000310558,$$a(biblio)801000310558,$$aEerste vermelding Studiegids 1991-92,$$aman,,,$$apersoon,$$f19460620$$gunknown$$s1991$$t2008,,,$$aUniversiteit Gent$$s2008$$iemeritus,$$avakgroep Bos- en Waterbeheer$$gBW04$$s2005$$t2008$$ivoorzitter$$0mem10:000006196,$$avakgroep Bos- en Waterbeheer$$gBW04$$0mem10:000006196,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/201/000005201-01.jpg,,,,,,,,,,,,,,
"Stevens, Peter",Peter Stevens,,,,,,,,1955,2012,faculteit Ingenieurswetenschappen en Architectu,"Stevens, Peter Karel M.","$$aEnergie, Elektrotechniek, Elektronica en Werktuigkunde",,,,000005202 ,$$a(biblio)801000895992,$$a(biblio)801000895992,$$aEerste vermelding Studiegids 1992-93,$$aman,$$aGent$$bOost-Vlaanderen$$cBelgië,$$aOosteeklo$$bOost-Vlaanderen$$cBelgië,$$apersoon,$$f19550827$$g20121001$$s1992$$t2003,,,$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$s2000$$t2003$$ihoofddocent$$0mem10:000006102,,"$$avakgroep Mechanica van Stroming, Warmte en Verbranding$$gEA03$$0mem10:000006110",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/202/000005202-01.jpg,,,,,,,,,,,,,,
"Stijnen, Theo",Theo Stijnen,Q55233086,,,,,,,1951,,faculteit Wetenschappen$$gWE$$s2006$$t2008$$iga,,"$$aWiskunde, Toegepaste Wiskunde en Informatica",,,289814051,000005207 ,$$a(viaf)289814051,$$a,$$aEerste vermelding Studiegids 2006-07,$$aman,,,$$apersoon,$$f1951$$gunknown$$sunknown$$tunknown,,"$$aStijnen, Theo$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2006$$t2008$$igastdocent$$0mem10:000006034,,"$$avakgroep Toegepaste Wiskunde, Informatica en Statistiek$$gWE02$$0mem10:000006046",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/207/000005207-01.jpg,,,,,,,,,,,,,,
"Storme, Leo",Leo Storme,Q55233167,,,,,,,1966,,faculteit Wetenschappen$$gWE$$s2008$$tunknown$$,,"$$aWiskunde, Toegepaste Wiskunde en Informatica",,,168204112,000005210 ,$$a(viaf)168204112,$$a,$$aEerste vermelding Studiegids 2001-02,$$aman,,,$$apersoon,$$f19661123$$gunknown$$s2001$$tunknown,,"$$aStorme, Leo$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2008$$tunknown$$ihoogleraar$$0mem10:000006034,,$$avakgroep Wiskunde$$gWE01$$0mem10:000006045,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/210/000005210-01.jpg,,,,,,,,,,,,,,
"Strauven, Francis",Francis Strauven,Q55233010,,,,,,,1942,,Universiteit Gent$$s2005$$iemeritus,"Strauven, Franciscus",$$aWetenschap en Technologie van Constructies en de Gebouwde Omgeving,,,,000005212 ,$$a(biblio),$$a(biblio),$$aEerste vermelding Studiegids 1999-00,$$aman,,,$$apersoon,$$f19420407$$gunknown$$s1999$$t2005,,"$$aStrauven, Franciscus$$d1942-$$0ZZZ",$$aUniversiteit Gent$$s2005$$iemeritus,,$$avakgroep Architectuur en Stedenbouw$$gEA01$$0mem10:000006108,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/212/000005212-01.jpg,,,,,,,,,,,,,,
"Struys, Michel",M.M.R.F. Struys,Q21546479,,,,,,,1966,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aFarmacie en Farmacologie,,,305016537,000005218 ,$$a(viaf)305016537,$$a,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19660420$$gunknown$$s2002$$tunknown,,"$$aStruys, Michel$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2008$$tunknown$$ihoogleraar$$0mem10:000006060,,$$avakgroep Anesthesiologie en Peri-Operatieve Geneeskunde$$gGE23$$0mem10:000006097,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/218/000005218-01.jpg,,,,,,,,,,,,,,
"Subbotin, Sergei",Sergei A. Subbotin,Q21395003,,,,,,,1958,,faculteit Wetenschappen$$gWE$$s2003$$tunknown$$,,$$aBiologie,,,140961003,000005220 ,$$a(viaf)140961003,$$a,$$aEerste vermelding Studiegids 2003-04,$$aman,,,$$apersoon,$$f19581108$$gunknown$$sunknown$$tunknown,,"$$aSubbotin, Sergei$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2003$$tunknown$$igastdocent$$0mem10:000006034,,$$avakgroep Biologie$$gWE11$$0mem10:000006056,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/220/000005220-01.jpg,,,,,,,,,,,,,,
"Svensk, Hans",Hans Svensk,,,,,,,,,,faculteit Wetenschappen$$gWE$$s2002$$t2003$$iga,,$$aBiologie,,,,000005223 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$funknown$$gunknown$$sunknown$$tunknown,,,$$afaculteit Wetenschappen$$gWE$$s2002$$t2003$$igastdocent$$0mem10:000006034,,$$avakgroep Biomedische Moleculaire Biologie$$gWE14$$0mem10:000006059,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/223/000005223-01.jpg,,,,,,,,,,,,,,
"Swennen, Rony",Rony Swennen,Q55232291,,,,,,,1955,,faculteit Bio-Ingenieurswetenschappen$$gBW$$s20,,$$aToegepaste Biologische Wetenschappen,,,51942734,000005224 ,$$a(viaf)51942734,$$a,$$aEerste vermelding Studiegids 2010-11,$$aman,,,$$apersoon,$$f19550814$$gunknown$$sunknown$$tunknown,,"$$aSwennen, Rony$$0ZZZ",$$afaculteit Bio-Ingenieurswetenschappen$$gBW$$s2010$$tunknown$$igastdocent$$0mem10:000006188,,$$avakgroep Plantaardige Productie$$gBW02$$0mem10:000006194,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/224/000005224-01.jpg,,,,,,,,,,,,,,
"Swings, Jean",Jean Swings,Q21340550,,,,,,,1945,,Universiteit Gent$$s2005$$iemeritus,,$$aBiologie,,,5086564,000005225 ,$$a(viaf)5086564,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19450517$$gunknown$$s1992$$t2005,,,$$aUniversiteit Gent$$s2005$$iemeritus,,$$avakgroep Biochemie en Microbiologie$$gWE10$$0mem10:000006054,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/225/000005225-01.jpg,,,,,,,,,,,,,,
"Swyngedouw, Erik",Erik Swyngedouw,Q1107767,,,,,,,1956,,faculteit Wetenschappen$$gWE$$s2011$$tunknown$$,,$$aAardwetenschappen en geografie,,,37066800,000005226 ,$$a(viaf)37066800,$$a,$$aEerste vermelding Studiegids 2011-12,$$aman,,,$$apersoon,$$f19560730$$gunknown$$sunknown$$tunknown,,"$$aSwyngedouw, Erik$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2011$$tunknown$$igastdocent$$0mem10:000006034,,$$avakgroep Geografie$$gWE12$$0mem10:000006057,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/226/000005226-01.jpg,,,,,,,,,,,,,,
"Symoens, Hilde",Hilde De Ridder-Symoens,Q17279064,,,,,,,1943,,Universiteit Gent$$s2008$$iemeritus,"Symoens, Hildegarde",$$aGeschiedenis en/of Archeologie,,,1139204,000005227 ,$$a(viaf)1139204,$$a,$$aEerste vermelding Studiegids 2001-02,$$avrouw,,,$$apersoon,$$f19430419$$gunknown$$s2001$$t2008,,"$$aSymoens, Hildegarde$$d1943-$$0ZZZ",$$aUniversiteit Gent$$s2008$$iemeritus,$$avakgroep Nieuwe Geschiedenis$$gLW04$$s2002$$t2008$$ivoorzitter$$0mem10:000005984,$$avakgroep Nieuwe Geschiedenis$$gLW04$$0mem10:000005984,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/227/000005227-01.jpg,,,,,,,,,,,,,,
"Sys, Stanislas",Stanislas Sys,Q55232859,,,,,,,1954,,faculteit Diergeneeskunde$$gDI$$s2008$$tunknown,"Sys, Stanislas U.",$$aMedische Basiswetenschappen,,,49913206,000005229 ,$$a(viaf)49913206,$$a,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$f19540912$$gunknown$$s2002$$tunknown,,"$$aSys, Stanislas$$0ZZZ",$$afaculteit Diergeneeskunde$$gDI$$s2008$$tunknown$$igewoon hoogleraar$$0mem10:000006151,$$avakgroep Vergelijkende Fysiologie en Biometrie$$gDI01$$s2002$$t2004$$ivoorzitter$$0mem10:000006158,$$avakgroep Interne Geneeskunde en Klinische Biologie van de Grote Huisdieren$$gDI12$$0mem10:000006169,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/229/000005229-01.jpg,,,,,,,,,,,,,,
"Szucs, Roman",Roman Szucs,Q79347252,,,,,,,1967,,faculteit Wetenschappen$$gWE$$s2010$$tunknown$$,,$$aChemie,,,,000005232 ,$$aNIV,$$aNIV,$$aEerste vermelding Studiegids 2010-11,$$aman,,,$$apersoon,$$f19670122$$gunknown$$sunknown$$tunknown,,"$$aSzucs, Roman$$0ZZZ",$$afaculteit Wetenschappen$$gWE$$s2010$$tunknown$$igastdocent$$0mem10:000006034,,$$avakgroep Organische en Macromoleculaire Chemie$$gWE07$$0mem10:000006051,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/232/000005232-01.jpg,,,,,,,,,,,,,,
"Tack, Filip",Filip M G Tack,Q43346031,,,,,,,1963,,faculteit Bio-Ingenieurswetenschappen$$gBW$$s20,,$$aChemie,,,192027940,000005233 ,$$a(viaf)192027940,$$a,$$aEerste vermelding Studiegids 2000-01,$$aman,,,$$apersoon,$$f19630202$$gunknown$$s2000$$tunknown,,"$$aTack, Filip$$d1963-$$0ZZZ",$$afaculteit Bio-Ingenieurswetenschappen$$gBW$$s2010$$tunknown$$ihoogleraar$$0mem10:000006188,$$avakgroep Toegepaste Analytische en Fysische Chemie$$gBW08$$s2014$$tunknown$$ivoorzitter$$0mem10:000006200,$$avakgroep Toegepaste Analytische en Fysische Chemie$$gBW08$$0mem10:000006200,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/233/000005233-01.jpg,,,,,,,,,,,,,,
"Taeldeman, Johan",Johan Taeldeman,Q2205298,,,,,,,1943,2017,Universiteit Gent$$s2004$$iemeritus,,$$aGermaanse Taal- en Letterkunde,,,19697622,000005236 ,$$a(viaf)19697622,$$a,$$aEerste vermelding Studiegids 1989-90,$$aman,,,$$apersoon,$$f19431223$$gunknown$$s1988$$t2004,,"$$aTaeldeman, Johan$$d1943-$$0(viaf)19697622$$0ZZZ",$$aUniversiteit Gent$$s2004$$iemeritus,$$aSeminarie voor Nederlandse taalkunde en Vlaamse dialectologie - fonetisch laboratorium$$s1989$$t1992$$idirecteur-diensthoofd$$0mem10:000008398,$$avakgroep Nederlandse Taalkunde$$gLW09$$0mem10:000005991,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/236/000005236-01.jpg,,,,,"$$aProf. Dr. Johan Taeldeman werd geboren te Maldegem-Kleit op 23 december 1943. In 1966 behaalde hij het diploma van licentiaat in de Letteren en Wijsbegeerte, Germaanse filologie. De Universiteit Gent verleende hem op 13 januari 1976 de titel van doctor in de Germaanse filologie. Hij begon zijn loopbaan aan de Universiteit Gent op 1 oktober 1969 als assistent in het Seminarie voor Nederlandse Taalkunde en Vlaamse Dialectologie. Per 1 oktober 1988 werd hij benoemd tot docent en vervolgens per 1 oktober 1991 tot hoofddocent aan het Seminarie voor Nederlandse Taalkunde en Vlaamse Dialectologie. Met ingang van 1 november 1993 werd prof. dr. Johan Taeldeman benoemd als hoogleraar en sinds 1 oktober 1999 tot gewoon hoogleraar aan de faculteit Letteren en Wijsbegeerte. Op 1 oktober 2004 werd ontslag verleend aan prof. dr. Taeldeman ter ere van zijn pensionering. Vanaf dan was hij gemachtigd de titel van ere gewoon hoogleraar te voeren. Prof. Johan Taeldeman heeft talrijke artikelen en boekbijdragen gepubliceerd met betrekking tot de Nederlandse Taalkunde. Zijn belangrijkste expertisedomein was de dialectologie: als kenner van de Vlaamse dialecten genoot hij niet enkel internationale faam onder de vakgenoten, maar was hij ook bekend bij het brede publiek. Hij was tevens erevoorzitter en erelid van de Koninklijke Academie voor Nederlandse Taal-en Letterkunde. Prof. dr. Johan Taeldeman, ere gewoon hoogleraar van de faculteit Letteren en Wijsbegeerte, is op 31 oktober 2017, thuis te Balegem overleden.",,,,,,,,,
"Taelman, Piet",Piet Taelman,Q55233430,,,,,,,1959,,Gandaius Permanente Vorming$$gRE56$$s2007$$t201,,$$aRecht,,,43682887,000005237 ,$$a(viaf)43682887,$$a,$$aEerste vermelding Studiegids 1995-96,$$aman,,,$$apersoon,$$f19591211$$gunknown$$s1995$$tunknown,,"$$aTaelman, Piet$$0ZZZ",$$aGandaius Permanente Vorming$$gRE56$$s2007$$t2010$$idiensthoofd$$0mem10:000006014,$$aGandaius Permanente Vorming$$s2007$$t2010$$idiensthoofd$$0mem10:000006014,"$$avakgroep Metajuridica, Privaat- en Ondernemingsrecht$$gRE21$$0mem10:000006016",$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/237/000005237-01.jpg,,,,,,,,,,,,,,
"Taerwe, Luc",Luc Taerwe,Q55232419,,,,,,,1952,,faculteit Ingenieurswetenschappen en Architectu,"Taerwe, Lucien",$$aWetenschap en Technologie van Constructies en de Gebouwde Omgeving,,,,000005238 ,$$a(biblio)801000375731,$$a(biblio)801000375731,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19521025$$gunknown$$s1992$$tunknown,,"$$aTaerwe, Lucien$$0ZZZ",$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$s2000$$tunknown$$igewoon hoogleraar$$0mem10:000006102,$$avakgroep Bouwkundige Constructies$$gEA14$$s1998$$tunknown$$ivoorzitter$$0mem10:000006122,$$avakgroep Bouwkundige Constructies$$gEA14$$0mem10:000006122,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/238/000005238-01.jpg,,,,,,,,,,,,,,
"Talsma, Durk",Durk Talsma,Q55233665,,,,,,,1969,,faculteit Psychologie en Pedagogische Wetenscha,,$$aPsychologische en Pedagogische Wetenschappen,,,283622362,000005240 ,$$a(viaf)283622362,$$a,$$aEerste vermelding Studiegids 2010-11,$$aman,,,$$apersoon,$$f19691119$$gunknown$$s2010$$tunknown,,"$$aTalsma, Durk$$0ZZZ",$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$s2010$$tunknown$$idocent$$0mem10:000006170,,$$avakgroep Experimentele Psychologie$$gPP02$$0mem10:000006179,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/240/000005240-01.jpg,,,,,,,,,,,,,,
"Tanret, Michel",Michel Tanret,Q55233026,,,,,,,1946,,Universiteit Gent$$s2011$$iemeritus,,$$aAndere Taal- en Letterkunde,,,41376414,000005241 ,$$a(viaf)41376414,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19460404$$gunknown$$s1992$$t2011,,"$$aTanret, Michel$$0ZZZ",$$aUniversiteit Gent$$s2011$$iemeritus,$$avakgroep Talen en Culturen van het Nabije Oosten en Noord-Afrika$$gLW14$$s1995$$t2011$$ivoorzitter$$0mem10:000005997,$$avakgroep Talen en Culturen van het Nabije Oosten en Noord-Afrika$$gLW14$$0mem10:000005997,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/241/000005241-01.jpg,,,,,,,,,,,,,,
"Tavernier, Dirk",Dirk Tavernier,Q55232552,,,,,,,1941,,Universiteit Gent$$s2006$$iemeritus,,$$aChemie,,,8683825,000005242 ,$$a(viaf)8683825,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19410823$$gunknown$$s1992$$t2006,,"$$aTavernier, Dirk$$0ZZZ",$$aUniversiteit Gent$$s2006$$iemeritus,,$$avakgroep Organische en Macromoleculaire Chemie$$gWE07$$0mem10:000006051,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/242/000005242-01.jpg,,,,,,,,,,,,,,
"Tavernier, Jan",Jan Tavernier,Q29998792,,,,,,,1956,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aToegepaste Biologische Wetenschappen,,,306470509,000005243 ,$$a(viaf)306470509,$$a,$$aEerste vermelding Studiegids 1996-97,$$aman,,,$$apersoon,$$f19560921$$gunknown$$s1996$$tunknown,,"$$aTavernier, Jan$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2001$$tunknown$$igewoon hoogleraar$$0mem10:000006060,$$avakgroep Biochemie$$gGE07$$s2010$$tunknown$$ivoorzitter$$0mem10:000006080,$$avakgroep Biochemie$$gGE07$$0mem10:000006080,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/243/000005243-01.jpg,,,,,,,,,,,,,,
"Tavernier, René",Rene H Tavernier,Q91107359,,,,,,,,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aInwendige Ziekten,,,,000005244 ,$$a(biblio)801001035230,$$a(biblio)801001035230,$$aEerste vermelding Studiegids 2002-03,$$aman,,,$$apersoon,$$funknown$$gunknown$$s2002$$t2009,,,$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2008$$t2009$$ihoofddocent$$0mem10:000006060,,$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$0mem10:000006060,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/244/000005244-01.jpg,,,,,,,,,,,,,,
"Temmerman, Marleen",Marleen Temmerman,Q340097,,5938,"Marleen Temmerman, Vlaamse gynaecologe, hoogleraar en politica.jpg",Marleen Temmerman,,MamaDaktari,1953,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aAndere Medische Disciplines,,,288438725,000005247 ,$$a(viaf)288438725,$$a,$$aEerste vermelding Studiegids 1996-97,$$avrouw,,,$$apersoon,$$f19530324$$gunknown$$s1996$$tunknown,,"$$aTemmerman, Marleen$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2006$$tunknown$$ibuitengewoon hoogleraar$$0mem10:000006060,$$avakgroep Uro-Gynaecologie$$gGE04$$s2009$$t2012$$ivoorzitter$$0mem10:000006075,$$avakgroep Vrouwenziekten$$gGE04V$$0mem10:000006073,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/247/000005247-01.jpg,,,,,,,,,,,,,,
"Thas, Charles",Charles Thas,Q55232318,,,,,,,1949,,Universiteit Gent$$s2009$$iemeritus,,"$$aWiskunde, Toegepaste Wiskunde en Informatica",,,289369247,000005250 ,$$a(viaf)289369247,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,$$aUkkel$$bBrussel$$cBelgië,,$$apersoon,$$f19490201$$gunknown$$s1992$$t2009,,,$$aUniversiteit Gent$$s2009$$iemeritus,,$$avakgroep Wiskunde$$gWE01$$0mem10:000006045,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/250/000005250-01.jpg,,,,,,,,,,,,,,
"Thas, Joseph",Joseph A. Thas,Q1706394,,,Blokhuis Hirschfeld Jungnickel Thas.jpg,,,,1944,,Universiteit Gent$$s2010$$iemeritus,,"$$aWiskunde, Toegepaste Wiskunde en Informatica",,,91929327,000005251 ,$$a(viaf)91929327,$$a,$$aEerste vermelding Studiegids 1970-71,$$aman,,,$$apersoon,$$f19441013$$gunknown$$s1970$$t2010,,,$$aUniversiteit Gent$$s2010$$iemeritus,$$aSeminarie voor meetkunde en kombinatoriek$$s1979$$t1992$$idirecteur-diensthoofd$$0mem10:000008808,$$avakgroep Wiskunde$$gWE01$$0mem10:000006045,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/251/000005251-01.jpg,,,,,,,,,,,,,,
"Theuniers, Guy",Guy Theuniers,Q55232549,,,,,,,1946,,Universiteit Gent$$s20121001$$iemeritus,,$$aTandheelkunde,,,40921269,000005254 ,$$a(viaf)40921269,$$a,$$aEerste vermelding Studiegids 2003-04,$$aman,,,$$apersoon,$$f19461115$$gunknown$$s2003$$t20121001,,"$$aTheuniers, Guy$$0ZZZ",$$aUniversiteit Gent$$s20121001$$iemeritus,,$$avakgroep Tandheelkunde$$gGE11$$0mem10:000006083,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/254/000005254-01.jpg,,,,,,,,,,,,,,
"Theuns, Jan",Jan Theuns,,,,,,,,,1984,faculteit Ingenieurswetenschappen en Architectu,"Theuns, Jan L.",$$aWetenschap en Technologie van Constructies en de Gebouwde Omgeving,,,,000005256 ,$$a(biblio),$$a(biblio),$$aEerste vermelding Studiegids 1979-80,$$aman,,,$$apersoon,$$funknown$$g19840929$$s1979$$t1984,,"$$aTheuns, Jan$$dunknown-1984$$0ZZZ",$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$s19791001$$tunknown$$idocent$$0mem10:000006102,,$$afaculteit Ingenieurswetenschappen en Architectuur$$gEA$$0mem10:000006102,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/256/000005256-01.jpg,,,,,,,,,,,,,,
"Theuns, Peter",Peter Theuns,Q55233153,,,,,,,1962,,faculteit Psychologie en Pedagogische Wetenscha,,"$$aWiskunde, Toegepaste Wiskunde en Informatica",,,,000005257 ,$$a(biblio)801001059983,$$a(biblio)801001059983,$$aEerste vermelding Studiegids 1998-99,$$aman,,,$$apersoon,$$f19620418$$gunknown$$s1998$$t2000,,,$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$s1998$$t2000$$idocent$$0mem10:000006170,,$$avakgroep Data-Analyse$$gPP01$$0mem10:000006178,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/257/000005257-01.jpg,,,,,,,,,,,,,,
"Thienpont, Kristiaan",Kristiaan Thienpont,Q55233503,,,,,,,1968,,faculteit Recht en Criminologie$$gRE$$s2007$$t2,,$$aCriminologie,,,64164339,000005260 ,$$a(viaf)64164339,$$a,$$aEerste vermelding Studiegids 2007-08,$$aman,,,$$apersoon,$$f19681231$$gunknown$$sunknown$$tunknown,,"$$aThienpont, Kristiaan$$0ZZZ",$$afaculteit Recht en Criminologie$$gRE$$s2007$$t2008$$igastdocent$$0mem10:000006010,,$$avakgroep Strafrecht en Criminologie$$gRE08$$0mem10:000006032,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/260/000005260-01.jpg,,,,,,,,,,,,,,
"Thienpont, Linda",Linda Thienpont,Q55232669,,,,,,,1953,,faculteit Farmaceutische Wetenschappen$$gFW$$s2,,$$aFarmacie en Farmacologie,,,70789833,000005261 ,$$a(viaf)70789833,$$a,$$aEerste vermelding Studiegids 1992-93,$$avrouw,,,$$apersoon,$$f19530813$$gunknown$$s1992$$t20151001,,"$$aThienpont, Linda$$0ZZZ",$$afaculteit Farmaceutische Wetenschappen$$gFW$$s2001$$tunknown$$igewoon hoogleraar$$0mem10:000006209,,$$avakgroep Farmaceutische Analyse$$gFW02$$0mem10:000006215,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/261/000005261-01.jpg,,,,,,,,,,,,,,
"Thierens, Hubert",Hubert Thierens,Q55232793,,,,,,,1950,,faculteit Geneeskunde en Gezondheidswetenschapp,,$$aMedische Basiswetenschappen,,,72729200,000005262 ,$$a(viaf)72729200,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19500608$$gunknown$$s1992$$t20151001,,"$$aThierens, Hubert$$0ZZZ",$$afaculteit Geneeskunde en Gezondheidswetenschappen$$gGE$$s2005$$tunknown$$igewoon hoogleraar$$0mem10:000006060,"$$avakgroep Anatomie, Embryologie, Histologie en Medische Fysica$$gGE05$$s2004$$t2008$$ivoorzitter$$0mem10:000006076",$$avakgroep Medische Basiswetenschappen$$gGE05$$0mem10:000006078,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/262/000005262-01.jpg,,,,,,,,,,,,,,
"Thiery, Evert",Evert Thiery,Q55233506,,,,,,,1947,,faculteit Psychologie en Pedagogische Wetenscha,,$$aPsychologische en Pedagogische Wetenschappen,,,,000005263 ,$$a(biblio)801000330564,$$a(biblio)801000330564,$$aEerste vermelding Studiegids 1983-84,$$aman,,,$$apersoon,$$f1947$$gunknown$$s1982$$tunknown,,"$$aThiery, Evert$$0ZZZ",$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$s19821001$$tunknown$$idocent$$0mem10:000006170,$$aSeminarie en laboratorium voor fysiologische psychologie en neuropsychologie$$s1984$$t1992$$idirecteur-diensthoofd$$0mem10:000008481,$$afaculteit Psychologie en Pedagogische Wetenschappen$$gPP$$0mem10:000006170,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/263/000005263-01.jpg,,,,,,,,,,,,,,
"Thoen, Erik",Erik Thoen,Q55232468,,,,,,,1953,,faculteit Letteren en Wijsbegeerte$$gLW$$s2007$,,$$aGeschiedenis en/of Archeologie,,,49351651,000005265 ,$$a(viaf)49351651,$$a,$$aEerste vermelding Studiegids 1996-97,$$aman,,,$$apersoon,$$f19530730$$gunknown$$s1996$$tunknown,,"$$aThoen, Erik$$0ZZZ",$$afaculteit Letteren en Wijsbegeerte$$gLW$$s2007$$tunknown$$igewoon hoogleraar$$0mem10:000005974,$$avakgroep Middeleeuwse Geschiedenis$$gLW03$$s2002$$t2010$$ivoorzitter$$0mem10:000005983,$$avakgroep Middeleeuwse Geschiedenis$$gLW03$$0mem10:000005983,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/265/000005265-01.jpg,,,,,,,,,,,,,,
"Thoen, Hugo",Hugo Thoen,Q55233317,,,,,,,1941,,Universiteit Gent$$s2002$$iemeritus,,$$aGeschiedenis en/of Archeologie,,,14791311,000005266 ,$$a(viaf)14791311,$$a,$$aEerste vermelding Studiegids 1992-93,$$aman,,,$$apersoon,$$f19410130$$gunknown$$s1992$$t2002,,,$$aUniversiteit Gent$$s2002$$iemeritus,,$$avakgroep Archeologie en oude geschiedenis van europa,$$uhttp://lib.ugent.be/fulltxt/MEM10/000/005/266/000005266-01.jpg,,,,,,,,,,,,,,
